[15:09:18] CPU: 2.80% | RAM: 27.35% | TEMP: 41.0°C
[15:10:18] CPU: 4.92% | RAM: 27.31% | TEMP: 41.0°C
[15:11:18] CPU: 6.36% | RAM: 27.38% | TEMP: 42.0°C
[15:12:18] CPU: 2.78% | RAM: 27.28% | TEMP: 41.0°C
[15:13:18] CPU: 3.54% | RAM: 27.37% | TEMP: 41.0°C
[15:14:18] CPU: 2.76% | RAM: 27.41% | TEMP: 41.0°C
[15:15:18] CPU: 2.80% | RAM: 27.25% | TEMP: 41.0°C
[15:16:18] CPU: 2.30% | RAM: 27.27% | TEMP: 41.0°C
[15:17:18] CPU: 3.30% | RAM: 27.37% | TEMP: 41.0°C
[15:18:18] CPU: 2.26% | RAM: 27.16% | TEMP: 41.0°C
[15:19:18] CPU: 2.79% | RAM: 27.46% | TEMP: 41.0°C
[15:20:18] CPU: 1.78% | RAM: 27.57% | TEMP: 41.0°C
[15:21:18] CPU: 3.04% | RAM: 27.37% | TEMP: 41.0°C
[15:22:18] CPU: 2.77% | RAM: 27.32% | TEMP: 41.0°C
[15:23:18] CPU: 2.27% | RAM: 27.45% | TEMP: 42.0°C
[15:24:18] CPU: 2.27% | RAM: 27.26% | TEMP: 41.0°C
[15:25:18] CPU: 2.04% | RAM: 27.30% | TEMP: 41.0°C
[15:26:18] CPU: 2.76% | RAM: 27.29% | TEMP: 41.0°C
[15:27:18] CPU: 2.03% | RAM: 27.42% | TEMP: 41.0°C
[15:28:18] CPU: 2.03% | RAM: 27.42% | TEMP: 40.0°C
[15:29:18] CPU: 33.94% | RAM: 28.54% | TEMP: 44.0°C
[15:30:18] CPU: 4.64% | RAM: 28.23% | TEMP: 41.0°C
[15:31:18] CPU: 4.86% | RAM: 28.24% | TEMP: 41.0°C
[15:32:18] CPU: 2.78% | RAM: 27.88% | TEMP: 42.0°C
[15:33:18] CPU: 2.27% | RAM: 27.92% | TEMP: 40.0°C
[15:34:18] CPU: 3.02% | RAM: 28.03% | TEMP: 41.0°C
[15:35:18] CPU: 2.79% | RAM: 27.89% | TEMP: 41.0°C
[15:36:18] CPU: 3.52% | RAM: 28.22% | TEMP: 41.0°C
[15:37:18] CPU: 3.30% | RAM: 28.29% | TEMP: 41.0°C
[15:38:18] CPU: 3.02% | RAM: 28.23% | TEMP: 41.0°C
[15:39:18] CPU: 2.28% | RAM: 28.21% | TEMP: 41.0°C
[15:40:18] CPU: 3.02% | RAM: 28.21% | TEMP: 40.0°C
[15:41:18] CPU: 2.28% | RAM: 27.97% | TEMP: 41.0°C
[15:42:18] CPU: 2.26% | RAM: 27.99% | TEMP: 41.0°C
